gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,cik,costat
010380,31/12/2004,2005,2,INDL,C,D,STD,USD,2004Q4,2005Q2,0000096793,A
010380,31/03/2005,2005,3,INDL,C,D,STD,USD,2005Q1,2005Q3,0000096793,A
010382,30/06/2004,2004,1,INDL,C,D,STD,USD,2004Q2,2004Q1,0000741556,I
010382,30/09/2004,2004,2,INDL,C,D,STD,USD,2004Q3,2004Q2,0000741556,I
010382,31/12/2004,2004,3,INDL,C,D,STD,USD,2004Q4,2004Q3,0000741556,I
010382,31/03/2005,2004,4,INDL,C,D,STD,USD,2005Q1,2004Q4,0000741556,I
010386,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000096831,I
010386,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000096831,I
010386,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000096831,I
010386,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000096831,I
010391,31/08/2004,2004,1,INDL,C,D,STD,USD,2004Q3,2004Q1,0000096879,I
010391,30/11/2004,2004,2,INDL,C,D,STD,USD,2004Q4,2004Q2,0000096879,I
010391,28/02/2005,2004,3,INDL,C,D,STD,USD,2005Q1,2004Q3,0000096879,I
010391,31/05/2005,2004,4,INDL,C,D,STD,USD,2005Q2,2004Q4,0000096879,I
010405,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0001018963,A
010405,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0001018963,A
010405,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0001018963,A
010405,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0001018963,A
010407,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000096943,A
010407,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000096943,A
010407,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000096943,A
010407,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000096943,A
010411,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0001051512,A
010411,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0001051512,A
010411,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0001051512,A
010411,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0001051512,A
010417,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000096988,I
010417,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000096988,I
010417,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000096988,I
010417,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000096988,I
010420,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000317771,I
010420,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000317771,I
010420,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000317771,I
010420,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000317771,I
010426,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000731939,I
010426,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000731939,I
010426,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000731939,I
010426,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000731939,I
010431,31/07/2004,2004,3,INDL,C,D,STD,USD,2004Q2,2004Q3,0000353779,I
010431,31/10/2004,2004,4,INDL,C,D,STD,USD,2004Q3,2004Q4,0000353779,I
010431,31/01/2005,2005,1,INDL,C,D,STD,USD,2004Q4,2005Q1,0000353779,I
010431,30/04/2005,2005,2,INDL,C,D,STD,USD,2005Q1,2005Q2,0000353779,I
010439,31/08/2004,2004,2,INDL,C,D,STD,USD,2004Q3,2004Q2,0000720480,I
010439,30/11/2004,2004,3,INDL,C,D,STD,USD,2004Q4,2004Q3,0000720480,I
010439,28/02/2005,2004,4,INDL,C,D,STD,USD,2005Q1,2004Q4,0000720480,I
010439,31/05/2005,2005,1,INDL,C,D,STD,USD,2005Q2,2005Q1,0000720480,I
010441,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000097134,A
010441,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000097134,A
010441,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000097134,A
010441,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000097134,A
010443,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0001024725,A
010443,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0001024725,A
010443,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0001024725,A
010443,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0001024725,A
010453,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000097210,A
010453,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000097210,A
010453,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000097210,A
010453,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000097210,A
010466,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000050104,A
010466,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000050104,A
010466,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000050104,A
010466,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000050104,A
010484,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000319687,A
010484,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000319687,A
010484,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000319687,A
010484,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000319687,A
010498,31/08/2004,2004,1,INDL,C,D,STD,USD,2004Q3,2004Q1,0000097472,I
010498,30/11/2004,2004,2,INDL,C,D,STD,USD,2004Q4,2004Q2,0000097472,I
010498,28/02/2005,2004,3,INDL,C,D,STD,USD,2005Q1,2004Q3,0000097472,I
010498,31/05/2005,2004,4,INDL,C,D,STD,USD,2005Q2,2004Q4,0000097472,I
010499,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000097476,A
010499,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000097476,A
010499,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000097476,A
010499,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000097476,A
010507,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0001023291,A
010507,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0001023291,A
010507,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0001023291,A
010507,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0001023291,A
010509,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000315261,I
010509,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000315261,I
010509,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000315261,I
010509,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000315261,I
010519,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000217346,A
010519,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000217346,A
010519,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000217346,A
010519,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000217346,A
010525,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000313277,I
010525,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000313277,I
010525,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000313277,I
010525,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000313277,I
010530,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000097745,A
010530,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000097745,A
010530,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000097745,A
010530,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000097745,A
010532,30/06/2004,2004,1,INDL,C,D,STD,USD,2004Q2,2004Q1,0000351902,A
010532,30/09/2004,2004,2,INDL,C,D,STD,USD,2004Q3,2004Q2,0000351902,A
010532,31/12/2004,2004,3,INDL,C,D,STD,USD,2004Q4,2004Q3,0000351902,A
010532,31/03/2005,2004,4,INDL,C,D,STD,USD,2005Q1,2004Q4,0000351902,A
010540,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000097854,I
010540,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000097854,I
010540,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000097854,I
010540,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000097854,I
010541,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000097886,I
010541,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000097886,I
010541,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000097886,I
010541,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000097886,I
